,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
45610,2007-11-24,CANBERRA,12.0,24.3,0.4,1.2,7.5,NNE,26.0,WSW,NE,6.0,9.0,74.0,57.0,1020.7,1019.2,7.0,5.0,17.8,22.8,NO,NO
45611,2007-11-25,CANBERRA,15.4,28.4,0.0,4.4,8.1,ENE,33.0,SSE,NE,9.0,15.0,85.0,31.0,1022.4,1018.6,8.0,2.0,16.8,27.3,NO,NO
45612,2007-11-26,CANBERRA,15.6,26.9,0.0,6.8,8.9,E,41.0,E,E,6.0,22.0,65.0,48.0,1019.7,1016.5,2.0,4.0,19.8,25.1,NO,NO
45613,2007-11-27,CANBERRA,13.3,22.2,0.2,6.6,2.3,ENE,39.0,E,E,20.0,17.0,70.0,55.0,1021.0,1018.6,7.0,7.0,16.5,21.2,NO,NO
45614,2007-11-28,CANBERRA,12.9,28.0,0.0,4.4,10.7,S,52.0,S,NNE,6.0,11.0,61.0,31.0,1019.2,1014.8,5.0,7.0,18.8,26.7,NO,NO
45615,2007-11-29,CANBERRA,15.1,24.3,0.0,7.0,0.4,SE,39.0,SE,SE,7.0,17.0,69.0,80.0,1019.0,1017.1,7.0,7.0,18.9,19.7,NO,NO
45616,2007-11-30,CANBERRA,13.6,24.1,0.4,2.6,0.5,NNW,30.0,SSW,S,6.0,6.0,83.0,49.0,1017.2,1013.3,8.0,7.0,17.3,23.2,NO,YES
45617,2007-12-01,CANBERRA,15.1,20.4,22.6,2.4,0.2,SSE,41.0,E,S,6.0,20.0,82.0,90.0,1015.0,1014.1,8.0,8.0,17.0,16.3,YES,YES
45618,2007-12-02,CANBERRA,11.6,26.3,4.2,1.6,12.0,NNE,41.0,E,SW,6.0,9.0,66.0,46.0,1013.9,1009.5,2.0,2.0,16.7,25.2,YES,NO
45619,2007-12-03,CANBERRA,16.6,24.2,0.2,6.6,4.7,NW,50.0,WNW,NW,13.0,35.0,72.0,60.0,1007.9,1004.6,7.0,7.0,20.5,19.9,NO,YES
45620,2007-12-04,CANBERRA,13.3,26.5,6.6,3.8,11.8,NW,50.0,NW,WNW,20.0,26.0,74.0,40.0,1007.3,1006.3,5.0,2.0,18.8,25.1,YES,NO
45621,2007-12-05,CANBERRA,14.5,21.8,0.0,8.4,9.8,ENE,43.0,ESE,E,11.0,30.0,69.0,63.0,1015.0,1015.3,7.0,1.0,18.6,20.5,NO,NO
45622,2007-12-06,CANBERRA,16.3,26.8,0.0,6.0,6.3,ENE,39.0,ESE,ESE,13.0,9.0,78.0,54.0,1018.8,1016.1,8.0,7.0,18.6,24.5,NO,NO
45623,2007-12-07,CANBERRA,17.2,25.8,0.0,4.2,8.8,SW,41.0,NW,N,6.0,6.0,70.0,74.0,1014.5,1011.5,6.0,7.0,21.5,22.6,NO,YES
45624,2007-12-08,CANBERRA,16.5,28.2,4.0,4.2,8.8,NE,39.0,E,N,7.0,13.0,76.0,42.0,1014.8,1011.4,8.0,1.0,18.0,26.3,YES,NO
45625,2007-12-09,CANBERRA,15.0,29.4,0.0,6.6,11.1,NW,43.0,N,W,9.0,24.0,78.0,24.0,1010.8,1008.5,7.0,7.0,20.6,28.6,NO,NO
45626,2007-12-10,CANBERRA,14.9,24.8,0.0,10.4,10.0,NNW,35.0,NNE,WNW,11.0,6.0,58.0,37.0,1011.7,1010.4,7.0,7.0,19.3,22.9,NO,NO
45627,2007-12-11,CANBERRA,11.8,18.5,0.6,4.8,2.3,ENE,35.0,ESE,E,9.0,15.0,60.0,63.0,1018.0,1017.4,8.0,6.0,13.8,16.4,NO,NO
45628,2007-12-12,CANBERRA,11.7,21.5,0.0,4.2,7.3,ENE,41.0,ESE,E,15.0,24.0,66.0,51.0,1021.1,1019.6,7.0,5.0,15.7,19.4,NO,NO
45629,2007-12-13,CANBERRA,9.6,20.3,0.0,5.0,3.6,SE,39.0,ESE,E,22.0,20.0,70.0,49.0,1021.9,1019.3,7.0,7.0,15.8,19.2,NO,NO
45630,2007-12-14,CANBERRA,8.9,27.1,0.0,4.4,12.7,E,35.0,NNW,N,6.0,11.0,63.0,37.0,1018.1,1012.5,1.0,2.0,15.8,25.0,NO,NO
45631,2007-12-15,CANBERRA,10.1,29.9,0.0,6.8,8.8,E,41.0,SE,WNW,2.0,13.0,63.0,36.0,1012.6,1010.2,1.0,8.0,17.4,29.1,NO,YES
45632,2007-12-16,CANBERRA,15.5,21.1,5.4,6.4,0.9,S,31.0,SSE,NE,6.0,7.0,93.0,86.0,1010.1,1008.6,8.0,8.0,16.6,20.0,YES,YES
45633,2007-12-17,CANBERRA,10.8,21.7,1.4,2.8,10.6,ESE,48.0,SSE,ESE,13.0,20.0,59.0,40.0,1017.6,1016.8,1.0,4.0,15.3,20.8,YES,NO
45634,2007-12-18,CANBERRA,7.5,20.9,0.0,6.6,8.7,ENE,39.0,SE,E,13.0,20.0,61.0,43.0,1020.6,1018.3,6.0,7.0,15.3,19.8,NO,NO
45635,2007-12-19,CANBERRA,12.8,21.0,0.0,6.4,0.8,NE,22.0,NE,ENE,7.0,6.0,72.0,54.0,1018.0,1015.6,8.0,8.0,16.1,20.0,NO,YES
45636,2007-12-20,CANBERRA,12.6,23.1,3.4,1.6,2.3,NNW,30.0,N,NW,4.0,13.0,97.0,74.0,1015.8,1014.1,8.0,7.0,15.3,20.4,YES,YES
45637,2007-12-21,CANBERRA,14.8,29.5,6.4,1.8,8.1,N,41.0,NW,NW,6.0,22.0,81.0,48.0,1012.9,1008.3,2.0,7.0,21.0,28.2,YES,YES
45638,2007-12-22,CANBERRA,19.9,22.0,11.0,4.4,5.9,NNW,76.0,N,WNW,41.0,30.0,92.0,62.0,996.5,996.8,8.0,3.0,20.6,19.6,YES,YES
45639,2007-12-23,CANBERRA,9.2,20.4,17.4,7.8,10.2,ENE,39.0,N,N,9.0,20.0,59.0,49.0,1009.5,1009.1,1.0,7.0,14.9,18.8,YES,NO
45640,2007-12-24,CANBERRA,12.4,24.4,0.0,6.2,12.1,NW,44.0,NNW,WNW,7.0,13.0,69.0,43.0,1012.8,1009.7,6.0,4.0,15.0,22.5,NO,YES
45641,2007-12-25,CANBERRA,11.3,21.7,3.4,8.2,5.6,E,41.0,SE,NE,11.0,11.0,67.0,52.0,1020.4,1019.1,8.0,3.0,12.4,21.0,YES,NO
45642,2007-12-26,CANBERRA,9.8,26.3,0.0,5.2,13.0,NNW,41.0,W,NNW,6.0,19.0,63.0,35.0,1023.2,1018.0,1.0,1.0,15.3,23.9,NO,NO
45643,2007-12-27,CANBERRA,14.3,26.7,0.0,7.2,7.1,NNW,65.0,N,NNW,7.0,48.0,68.0,64.0,1017.3,1014.3,7.0,7.0,19.8,19.0,NO,YES
45644,2007-12-28,CANBERRA,15.1,28.3,14.4,8.8,13.2,NNW,28.0,NNW,NW,6.0,13.0,73.0,44.0,1016.8,1013.4,1.0,5.0,18.3,27.4,YES,NO
45645,2007-12-29,CANBERRA,14.4,31.6,0.0,6.6,13.6,NNW,30.0,NW,N,6.0,7.0,65.0,30.0,1017.1,1014.2,0.0,2.0,21.5,30.3,NO,NO
45646,2007-12-30,CANBERRA,15.4,35.0,0.0,9.6,13.0,E,39.0,SSW,ESE,6.0,22.0,55.0,18.0,1017.4,1015.0,1.0,1.0,23.4,34.3,NO,NO
45647,2007-12-31,CANBERRA,13.8,33.5,0.0,11.4,13.6,NE,31.0,SSE,NE,7.0,9.0,44.0,20.0,1019.2,1015.6,0.0,1.0,21.9,32.2,NO,NO
45648,2008-01-01,CANBERRA,13.6,34.2,0.0,8.8,12.8,NNE,35.0,ESE,W,2.0,11.0,50.0,20.0,1015.8,1011.6,7.0,6.0,21.9,31.8,NO,NO
45649,2008-01-02,CANBERRA,14.3,35.0,0.0,7.6,10.5,ESE,41.0,ESE,WSW,2.0,9.0,43.0,14.0,1012.6,1008.7,0.0,1.0,23.0,33.6,NO,NO
45650,2008-01-03,CANBERRA,15.9,23.4,0.0,12.6,2.2,ESE,50.0,ESE,ESE,20.0,24.0,69.0,55.0,1016.8,1016.3,8.0,7.0,19.2,22.3,NO,NO
45651,2008-01-04,CANBERRA,16.7,25.3,0.0,6.2,12.5,ESE,46.0,ESE,ESE,24.0,26.0,56.0,45.0,1016.2,1013.0,6.0,7.0,20.3,23.9,NO,NO
45652,2008-01-05,CANBERRA,12.1,27.5,0.0,7.4,11.7,NE,35.0,SSE,E,7.0,15.0,69.0,40.0,1011.8,1007.4,7.0,2.0,18.6,26.8,NO,NO
45653,2008-01-06,CANBERRA,14.3,34.1,0.0,6.6,10.5,ENE,39.0,W,NNW,6.0,19.0,77.0,34.0,1006.6,1003.3,1.0,1.0,18.9,31.9,NO,NO
45654,2008-01-07,CANBERRA,16.5,33.9,0.0,9.0,12.6,ENE,39.0,E,NW,11.0,11.0,60.0,36.0,1012.3,1009.5,1.0,1.0,20.8,31.3,NO,NO
45655,2008-01-08,CANBERRA,16.5,30.3,0.0,10.0,8.1,E,46.0,E,N,7.0,9.0,77.0,44.0,1015.7,1013.4,7.0,1.0,18.1,28.0,NO,NO
45656,2008-01-09,CANBERRA,17.5,29.9,0.0,6.6,8.8,E,43.0,E,ENE,13.0,11.0,74.0,45.0,1018.5,1015.9,8.0,1.0,19.3,27.9,NO,NO
45657,2008-01-10,CANBERRA,14.7,34.2,0.0,6.6,12.8,NE,33.0,WNW,NW,6.0,11.0,64.0,25.0,1017.8,1013.3,1.0,1.0,21.3,32.2,NO,NO
45658,2008-01-11,CANBERRA,17.5,35.8,0.0,9.4,13.3,SSE,57.0,NNW,NW,6.0,19.0,56.0,24.0,1011.8,1006.5,0.0,1.0,24.7,34.5,NO,NO
45659,2008-01-12,CANBERRA,20.9,35.7,0.0,13.8,6.9,SW,50.0,E,WNW,4.0,17.0,61.0,28.0,1007.6,1003.0,7.0,2.0,23.6,34.0,NO,YES
45660,2008-01-13,CANBERRA,17.0,33.8,2.0,9.0,13.5,WNW,52.0,NNW,W,6.0,24.0,65.0,35.0,1004.0,1001.8,2.0,3.0,23.0,31.8,YES,NO
45661,2008-01-14,CANBERRA,16.0,22.8,0.0,12.4,6.0,E,50.0,E,ENE,13.0,19.0,70.0,57.0,1012.3,1012.3,8.0,6.0,17.0,21.6,NO,NO
45662,2008-01-15,CANBERRA,15.4,33.8,0.0,5.2,11.1,W,35.0,E,NW,7.0,15.0,70.0,26.0,1014.2,1009.0,7.0,1.0,18.0,31.7,NO,NO
45663,2008-01-16,CANBERRA,17.9,33.2,0.0,10.4,8.4,N,59.0,N,NNE,15.0,20.0,58.0,62.0,1008.5,1006.1,6.0,7.0,24.5,23.5,NO,YES
45664,2008-01-17,CANBERRA,15.2,25.1,4.8,6.4,11.6,E,46.0,ESE,ESE,20.0,28.0,62.0,42.0,1016.8,1015.0,1.0,1.0,17.1,23.9,YES,NO
45665,2008-01-18,CANBERRA,15.1,20.4,0.0,9.6,0.1,ESE,39.0,ESE,ESE,17.0,19.0,63.0,55.0,1017.5,1015.8,8.0,8.0,17.8,19.4,NO,YES
45666,2008-01-19,CANBERRA,15.3,19.6,18.8,5.0,0.0,NE,33.0,SSE,NNE,9.0,13.0,92.0,88.0,1008.7,1006.0,8.0,8.0,18.0,18.6,YES,YES
45667,2008-01-20,CANBERRA,17.2,24.7,12.2,1.4,8.1,NW,50.0,NW,WNW,19.0,28.0,80.0,71.0,1004.9,1004.0,7.0,8.0,19.4,21.9,YES,NO
45668,2008-01-21,CANBERRA,15.9,19.9,0.8,5.6,1.6,E,48.0,SSE,ESE,17.0,22.0,73.0,58.0,1011.4,1012.1,8.0,7.0,17.4,18.6,NO,NO
45669,2008-01-22,CANBERRA,10.0,22.5,0.0,4.4,11.6,E,33.0,SE,S,11.0,7.0,55.0,46.0,1018.7,1016.8,1.0,2.0,14.7,22.2,NO,NO
45670,2008-01-23,CANBERRA,9.9,24.4,0.0,5.8,10.8,NE,28.0,SE,E,7.0,7.0,60.0,38.0,1021.6,1019.2,1.0,4.0,16.2,22.7,NO,NO
45671,2008-01-24,CANBERRA,10.3,27.8,0.0,6.4,9.9,ENE,35.0,SE,NE,6.0,11.0,64.0,29.0,1021.3,1018.1,3.0,6.0,17.0,26.3,NO,NO
45672,2008-01-25,CANBERRA,15.4,25.7,0.0,6.8,8.2,E,41.0,E,NE,9.0,17.0,67.0,32.0,1020.1,1016.9,7.0,7.0,17.6,24.6,NO,NO
45673,2008-01-26,CANBERRA,12.7,28.8,0.0,7.4,9.0,NNE,28.0,NW,SSW,4.0,7.0,70.0,28.0,1016.5,1012.4,1.0,5.0,18.3,28.3,NO,NO
45674,2008-01-27,CANBERRA,13.2,31.3,0.0,6.6,11.6,WSW,46.0,N,WNW,4.0,26.0,71.0,28.0,1013.1,1009.5,1.0,4.0,19.7,30.7,NO,NO
45675,2008-01-28,CANBERRA,15.3,33.2,0.0,9.4,13.2,NNW,44.0,NNE,NW,4.0,24.0,60.0,18.0,1013.9,1012.0,0.0,1.0,22.4,32.1,NO,NO
45676,2008-01-29,CANBERRA,17.9,33.9,0.0,10.4,11.8,ENE,46.0,S,W,6.0,11.0,72.0,22.0,1017.4,1014.6,1.0,1.0,19.8,32.3,NO,NO
45677,2008-01-30,CANBERRA,18.0,34.9,0.0,9.2,9.9,NW,69.0,N,W,6.0,13.0,68.0,29.0,1018.0,1013.7,1.0,6.0,22.2,33.1,NO,YES
45678,2008-01-31,CANBERRA,17.6,27.8,5.2,10.2,3.6,ESE,39.0,N,NNW,13.0,13.0,66.0,49.0,1014.6,1012.8,7.0,8.0,21.4,26.3,YES,YES
45679,2008-02-01,CANBERRA,16.0,23.8,2.2,5.4,6.2,SSE,30.0,SE,ESE,11.0,11.0,73.0,49.0,1018.9,1017.1,8.0,7.0,16.5,22.9,YES,NO
45680,2008-02-02,CANBERRA,14.9,28.8,0.0,5.8,8.1,NNE,30.0,SSE,NNE,7.0,11.0,71.0,44.0,1018.2,1014.5,7.0,2.0,19.1,27.0,NO,NO
45681,2008-02-03,CANBERRA,17.1,29.6,0.0,5.8,9.2,E,48.0,SE,ESE,9.0,17.0,67.0,38.0,1016.7,1012.8,6.0,7.0,21.7,29.1,NO,YES
45682,2008-02-04,CANBERRA,18.2,22.6,1.8,8.0,0.0,ENE,33.0,SSE,ENE,7.0,13.0,92.0,76.0,1014.4,1011.5,8.0,8.0,18.5,22.1,YES,YES
45683,2008-02-05,CANBERRA,16.8,22.8,9.0,2.8,0.3,ESE,30.0,S,SSE,7.0,11.0,88.0,71.0,1010.0,1007.8,8.0,8.0,18.4,21.5,YES,NO
45684,2008-02-06,CANBERRA,13.6,27.4,1.0,2.8,8.0,W,52.0,NW,WNW,6.0,24.0,77.0,41.0,1002.1,997.5,4.0,7.0,18.7,26.5,NO,NO
45685,2008-02-07,CANBERRA,14.5,24.2,0.0,6.8,5.9,SSW,61.0,N,NNW,11.0,20.0,76.0,76.0,999.4,998.9,7.0,7.0,17.9,20.3,NO,YES
45686,2008-02-08,CANBERRA,12.4,19.9,16.2,5.4,5.6,ENE,41.0,ESE,ESE,7.0,20.0,75.0,58.0,1007.6,1005.0,7.0,7.0,13.6,18.7,YES,NO
45687,2008-02-09,CANBERRA,10.4,20.9,0.0,4.0,8.9,SSE,33.0,S,S,15.0,17.0,65.0,51.0,1007.7,1006.8,6.0,6.0,13.8,18.7,NO,NO
45688,2008-02-10,CANBERRA,9.1,23.1,0.0,5.8,9.6,ENE,41.0,SSE,W,17.0,13.0,66.0,37.0,1013.6,1011.4,1.0,7.0,14.0,21.4,NO,NO
45689,2008-02-11,CANBERRA,8.9,26.0,0.0,5.0,10.7,NE,31.0,SE,NE,7.0,13.0,74.0,34.0,1016.1,1011.7,1.0,5.0,14.6,24.2,NO,YES
45690,2008-02-12,CANBERRA,14.5,24.2,4.4,6.6,5.9,W,48.0,NNW,WNW,9.0,17.0,95.0,60.0,1010.8,1006.8,8.0,5.0,15.8,22.6,YES,YES
45691,2008-02-13,CANBERRA,12.6,18.2,11.0,3.2,0.4,ENE,30.0,SSE,SSE,13.0,15.0,81.0,73.0,1010.0,1011.0,7.0,8.0,16.3,16.8,YES,NO
45692,2008-02-14,CANBERRA,8.6,24.2,0.2,2.8,12.7,E,33.0,S,SE,11.0,9.0,63.0,37.0,1017.5,1015.1,1.0,1.0,13.7,22.0,NO,NO
45693,2008-02-15,CANBERRA,10.8,25.2,0.0,5.6,12.6,ENE,35.0,SE,E,7.0,7.0,69.0,32.0,1020.2,1016.7,1.0,1.0,15.0,24.3,NO,NO
45694,2008-02-16,CANBERRA,11.2,26.1,0.0,7.2,12.6,ENE,39.0,SE,E,7.0,19.0,71.0,40.0,1022.9,1020.0,1.0,1.0,15.3,24.7,NO,NO
45695,2008-02-17,CANBERRA,12.1,24.1,0.0,7.4,10.2,ENE,46.0,ESE,NNE,9.0,13.0,64.0,46.0,1025.2,1021.4,7.0,1.0,15.4,22.5,NO,NO
45696,2008-02-18,CANBERRA,10.8,25.8,0.0,6.8,11.7,E,31.0,S,NNE,7.0,11.0,72.0,42.0,1021.3,1017.4,5.0,4.0,17.2,24.1,NO,NO
45697,2008-02-19,CANBERRA,11.4,27.1,0.0,5.6,12.1,NE,33.0,ESE,SE,6.0,15.0,69.0,38.0,1017.6,1012.8,1.0,2.0,16.9,26.1,NO,NO
45698,2008-02-20,CANBERRA,12.0,28.9,0.0,7.2,8.2,ESE,39.0,SSE,WNW,2.0,9.0,78.0,31.0,1012.2,1009.1,2.0,7.0,17.4,28.6,NO,YES
45699,2008-02-21,CANBERRA,16.3,24.8,1.8,7.8,3.8,S,50.0,NNW,N,4.0,7.0,88.0,56.0,1011.8,1008.4,7.0,7.0,17.5,24.0,YES,YES
45700,2008-02-22,CANBERRA,12.7,28.6,6.6,3.2,8.6,W,50.0,,W,7.851540530757532,28.0,78.0,42.0,1008.3,1002.3,5.0,5.0,16.5,27.4,YES,NO
45701,2008-02-23,CANBERRA,12.7,25.1,0.0,7.8,12.4,NW,46.0,WNW,WNW,20.0,26.0,57.0,32.0,1007.4,1005.4,1.0,1.0,15.7,24.5,NO,NO
45702,2008-02-24,CANBERRA,12.0,23.8,0.0,10.4,12.4,NW,44.0,NW,WNW,15.0,30.0,54.0,34.0,1007.9,1007.2,0.0,1.0,15.1,22.9,NO,NO
45703,2008-02-25,CANBERRA,11.5,25.9,0.0,5.2,10.2,ENE,44.0,ENE,WSW,9.0,7.0,70.0,35.0,1016.4,1014.3,6.0,2.0,15.8,24.3,NO,NO
45704,2008-02-26,CANBERRA,13.0,28.2,0.0,5.0,11.6,NW,44.0,WSW,NW,4.0,17.0,74.0,27.0,1017.6,1014.4,3.0,6.0,17.4,27.0,NO,NO
45705,2008-02-27,CANBERRA,11.7,27.6,0.0,7.8,8.1,W,48.0,,W,6.5900378348058695,30.0,74.0,25.0,1013.6,1009.1,2.0,6.0,17.6,26.8,NO,NO
45706,2008-02-28,CANBERRA,14.8,17.3,0.0,7.6,0.8,SSE,48.0,S,SE,13.0,13.0,74.0,78.0,1010.0,1009.9,7.0,7.0,15.7,15.3,NO,YES
45707,2008-02-29,CANBERRA,7.7,18.4,10.4,5.2,12.0,S,48.0,S,S,24.0,17.0,58.0,34.0,1015.5,1014.5,5.0,1.0,10.6,16.8,YES,NO
45708,2008-03-01,CANBERRA,4.4,21.8,0.0,6.2,12.1,S,35.0,SSE,SSE,15.0,15.0,60.0,31.0,1020.8,1019.3,1.0,1.0,11.7,20.0,NO,NO
45709,2008-03-02,CANBERRA,7.4,24.4,0.0,6.2,11.6,E,35.0,ESE,WNW,7.0,11.0,65.0,37.0,1026.3,1023.2,0.0,2.0,12.2,22.1,NO,NO
45710,2008-03-03,CANBERRA,8.3,27.3,0.0,5.6,10.1,E,35.0,ESE,WNW,6.0,9.0,78.0,28.0,1025.4,1020.4,1.0,1.0,13.8,25.5,NO,NO
45711,2008-03-04,CANBERRA,10.1,28.2,0.0,6.0,7.3,ESE,39.0,SSE,WNW,6.0,7.0,72.0,28.0,1021.1,1018.2,1.0,7.0,15.6,27.0,NO,NO
45712,2008-03-05,CANBERRA,12.0,27.6,0.0,6.0,11.0,E,46.0,SSE,WSW,7.0,6.0,69.0,35.0,1025.5,1022.2,1.0,1.0,15.7,26.2,NO,NO
45713,2008-03-06,CANBERRA,12.9,31.8,0.0,6.0,11.3,WSW,41.0,NNW,NNE,6.0,9.0,76.0,24.0,1023.9,1019.3,2.0,3.0,17.4,30.0,NO,NO
45714,2008-03-07,CANBERRA,10.8,29.2,0.0,8.4,7.5,E,50.0,,ENE,6.25177595753253,9.0,56.0,34.0,1021.6,1017.7,0.0,7.0,17.5,27.7,NO,YES
45715,2008-03-08,CANBERRA,9.5,27.4,3.0,4.8,11.5,NNW,24.0,SSE,NNW,6.0,9.0,79.0,39.0,1024.7,1020.7,1.0,7.0,14.0,24.9,YES,NO
45716,2008-03-09,CANBERRA,12.1,27.8,0.0,5.0,11.5,E,41.0,SE,NNE,7.0,11.0,66.0,33.0,1024.8,1023.1,0.0,1.0,17.8,27.0,NO,NO
45717,2008-03-10,CANBERRA,12.5,31.7,0.0,6.6,11.2,WNW,24.0,ENE,W,6.0,9.0,74.0,28.0,1024.9,1020.4,1.0,1.0,17.2,30.1,NO,NO
45718,2008-03-11,CANBERRA,13.9,34.7,0.0,6.4,8.5,SSW,46.0,SE,ENE,11.0,7.0,50.0,18.0,1022.8,1019.3,0.0,3.0,20.2,32.7,NO,NO
45719,2008-03-12,CANBERRA,13.3,31.7,0.2,7.8,11.0,WNW,44.0,ESE,WSW,6.0,28.0,80.0,23.0,1021.6,1017.6,2.0,5.0,17.5,30.7,NO,NO
45720,2008-03-13,CANBERRA,13.2,33.1,0.0,8.6,9.7,ENE,39.0,SE,NNW,7.0,7.0,91.0,18.0,1020.9,1017.7,7.0,1.0,16.1,31.7,NO,NO
45721,2008-03-14,CANBERRA,12.3,33.8,0.0,7.2,11.3,W,22.0,SE,W,9.0,13.0,57.0,15.0,1022.6,1019.1,0.0,1.0,17.9,32.7,NO,NO
45722,2008-03-15,CANBERRA,13.8,35.2,0.0,6.4,11.2,SE,48.0,SE,ESE,7.0,4.0,47.0,15.0,1022.5,1019.3,5.0,2.0,21.4,34.1,NO,NO
45723,2008-03-16,CANBERRA,11.3,32.3,0.0,9.4,11.4,NE,28.0,ENE,WNW,4.0,6.0,44.0,17.0,1024.3,1020.7,5.0,2.0,18.2,30.5,NO,NO
45724,2008-03-17,CANBERRA,11.7,30.2,0.0,7.8,11.2,NE,33.0,ESE,NNW,9.0,13.0,73.0,22.0,1024.3,1020.6,1.0,0.0,17.7,28.8,NO,NO
